platform,comparison_type,comparison_target,domain
grok,one_vs_rest,all_other_platforms,cntraveller.com
grok,one_vs_rest,all_other_platforms,thehindu.com
grok,one_vs_rest,all_other_platforms,timeout.com
grok,one_vs_rest,all_other_platforms,avygeo.com
grok,one_vs_rest,all_other_platforms,moneycontrol.com
grok,one_vs_rest,all_other_platforms,tripadvisor.com
grok,one_vs_rest,all_other_platforms,cntraveller.in
grok,one_vs_rest,all_other_platforms,worldpopulationreview.com
grok,one_vs_rest,all_other_platforms,wfmz.com
grok,one_vs_rest,all_other_platforms,wanderworthy.com
grok,one_vs_rest,all_other_platforms,bucketlisttravels.com
grok,one_vs_rest,all_other_platforms,visualcapitalist.com
grok,one_vs_rest,all_other_platforms,tripmemo.app
grok,one_vs_rest,all_other_platforms,oceanicsociety.org
grok,one_vs_rest,all_other_platforms,vogue.com.au
grok,one_vs_rest,all_other_platforms,creators.yahoo.com
grok,pairwise,chatgpt,npr.org
grok,pairwise,chatgpt,smh.com.au
grok,pairwise,chatgpt,forbes.com
grok,pairwise,chatgpt,cntraveler.com
grok,pairwise,chatgpt,dw.com
grok,pairwise,chatgpt,nytimes.com
grok,pairwise,chatgpt,telegraph.co.uk
grok,pairwise,chatgpt,travelandleisure.com
grok,pairwise,chatgpt,union-bulletin.com
grok,pairwise,chatgpt,scmp.com
grok,pairwise,chatgpt,newsnetonline.org
grok,pairwise,chatgpt,travel.usnews.com
grok,pairwise,chatgpt,mercurynews.com
grok,pairwise,chatgpt,101news.org
grok,pairwise,chatgpt,mcall.com
grok,pairwise,chatgpt,wikipedia.org
grok,pairwise,chatgpt,dawn.com
grok,pairwise,chatgpt,cbc.ca
grok,pairwise,chatgpt,abc.net.au
grok,pairwise,chatgpt,washingtonpost.com
grok,pairwise,chatgpt,cnbctv18.com
grok,pairwise,chatgpt,cntraveller.com
grok,pairwise,chatgpt,thehindu.com
grok,pairwise,chatgpt,baltimoresun.com
grok,pairwise,chatgpt,timeout.com
grok,pairwise,chatgpt,avygeo.com
grok,pairwise,chatgpt,indianexpress.com
grok,pairwise,chatgpt,wng.org
grok,pairwise,chatgpt,moneycontrol.com
grok,pairwise,chatgpt,tripadvisor.com
grok,pairwise,chatgpt,cntraveller.in
grok,pairwise,chatgpt,worldpopulationreview.com
grok,pairwise,chatgpt,wfmz.com
grok,pairwise,chatgpt,wanderworthy.com
grok,pairwise,chatgpt,bucketlisttravels.com
grok,pairwise,chatgpt,visualcapitalist.com
grok,pairwise,chatgpt,justsecurity.org
grok,pairwise,chatgpt,tripmemo.app
grok,pairwise,chatgpt,oceanicsociety.org
grok,pairwise,chatgpt,vogue.com.au
grok,pairwise,chatgpt,creators.yahoo.com
grok,pairwise,claude,smh.com.au
grok,pairwise,claude,democracynow.org
grok,pairwise,claude,youtube.com
grok,pairwise,claude,forbes.com
grok,pairwise,claude,independent.co.uk
grok,pairwise,claude,cntraveler.com
grok,pairwise,claude,dw.com
grok,pairwise,claude,nytimes.com
grok,pairwise,claude,telegraph.co.uk
grok,pairwise,claude,travelandleisure.com
grok,pairwise,claude,euronews.com
grok,pairwise,claude,union-bulletin.com
grok,pairwise,claude,scmp.com
grok,pairwise,claude,newsnetonline.org
grok,pairwise,claude,travel.usnews.com
grok,pairwise,claude,mercurynews.com
grok,pairwise,claude,101news.org
grok,pairwise,claude,mcall.com
grok,pairwise,claude,dawn.com
grok,pairwise,claude,cbc.ca
grok,pairwise,claude,abc.net.au
grok,pairwise,claude,washingtonpost.com
grok,pairwise,claude,cnbctv18.com
grok,pairwise,claude,theguardian.com
grok,pairwise,claude,cntraveller.com
grok,pairwise,claude,thehindu.com
grok,pairwise,claude,timeout.com
grok,pairwise,claude,avygeo.com
grok,pairwise,claude,indianexpress.com
grok,pairwise,claude,moneycontrol.com
grok,pairwise,claude,tripadvisor.com
grok,pairwise,claude,cntraveller.in
grok,pairwise,claude,worldpopulationreview.com
grok,pairwise,claude,wfmz.com
grok,pairwise,claude,wanderworthy.com
grok,pairwise,claude,bucketlisttravels.com
grok,pairwise,claude,visualcapitalist.com
grok,pairwise,claude,tripmemo.app
grok,pairwise,claude,oceanicsociety.org
grok,pairwise,claude,vogue.com.au
grok,pairwise,claude,thetimes.com
grok,pairwise,claude,creators.yahoo.com
grok,pairwise,deepseek,npr.org
grok,pairwise,deepseek,smh.com.au
grok,pairwise,deepseek,democracynow.org
grok,pairwise,deepseek,youtube.com
grok,pairwise,deepseek,forbes.com
grok,pairwise,deepseek,independent.co.uk
grok,pairwise,deepseek,cntraveler.com
grok,pairwise,deepseek,nytimes.com
grok,pairwise,deepseek,telegraph.co.uk
grok,pairwise,deepseek,travelandleisure.com
grok,pairwise,deepseek,euronews.com
grok,pairwise,deepseek,union-bulletin.com
grok,pairwise,deepseek,scmp.com
grok,pairwise,deepseek,newsnetonline.org
grok,pairwise,deepseek,travel.usnews.com
grok,pairwise,deepseek,mercurynews.com
grok,pairwise,deepseek,101news.org
grok,pairwise,deepseek,mcall.com
grok,pairwise,deepseek,wikipedia.org
grok,pairwise,deepseek,dawn.com
grok,pairwise,deepseek,cbc.ca
grok,pairwise,deepseek,abc.net.au
grok,pairwise,deepseek,washingtonpost.com
grok,pairwise,deepseek,cnbctv18.com
grok,pairwise,deepseek,theguardian.com
grok,pairwise,deepseek,cntraveller.com
grok,pairwise,deepseek,thehindu.com
grok,pairwise,deepseek,baltimoresun.com
grok,pairwise,deepseek,timeout.com
grok,pairwise,deepseek,avygeo.com
grok,pairwise,deepseek,wng.org
grok,pairwise,deepseek,moneycontrol.com
grok,pairwise,deepseek,tripadvisor.com
grok,pairwise,deepseek,cntraveller.in
grok,pairwise,deepseek,worldpopulationreview.com
grok,pairwise,deepseek,wfmz.com
grok,pairwise,deepseek,wanderworthy.com
grok,pairwise,deepseek,bucketlisttravels.com
grok,pairwise,deepseek,visualcapitalist.com
grok,pairwise,deepseek,justsecurity.org
grok,pairwise,deepseek,tripmemo.app
grok,pairwise,deepseek,oceanicsociety.org
grok,pairwise,deepseek,vogue.com.au
grok,pairwise,deepseek,thetimes.com
grok,pairwise,deepseek,creators.yahoo.com
deepseek,one_vs_rest,all_other_platforms,deutschlandfunk.de
deepseek,one_vs_rest,all_other_platforms,ab-in-den-urlaub.de
deepseek,one_vs_rest,all_other_platforms,today.rtl.lu
deepseek,one_vs_rest,all_other_platforms,sohu.com
deepseek,one_vs_rest,all_other_platforms,m.gmw.cn
deepseek,one_vs_rest,all_other_platforms,163.com
deepseek,one_vs_rest,all_other_platforms,toutiao.com
deepseek,one_vs_rest,all_other_platforms,baijiahao.baidu.com
deepseek,one_vs_rest,all_other_platforms,english.kyodonews.net
deepseek,one_vs_rest,all_other_platforms,myanmaritv.com
deepseek,one_vs_rest,all_other_platforms,wktv.com
deepseek,one_vs_rest,all_other_platforms,wionews.com
deepseek,one_vs_rest,all_other_platforms,travelwithme.my.id
deepseek,one_vs_rest,all_other_platforms,nationalgeographic.com
deepseek,one_vs_rest,all_other_platforms,pht.com.au
deepseek,one_vs_rest,all_other_platforms,mypunepulse.com
deepseek,one_vs_rest,all_other_platforms,weroad.com
deepseek,one_vs_rest,all_other_platforms,bostonglobe.com
deepseek,one_vs_rest,all_other_platforms,nicolestravels.com
deepseek,one_vs_rest,all_other_platforms,bbc.com
deepseek,one_vs_rest,all_other_platforms,forevertravelingblog.com
deepseek,pairwise,chatgpt,deutschlandfunk.de
deepseek,pairwise,chatgpt,ab-in-den-urlaub.de
deepseek,pairwise,chatgpt,today.rtl.lu
deepseek,pairwise,chatgpt,sohu.com
deepseek,pairwise,chatgpt,m.gmw.cn
deepseek,pairwise,chatgpt,163.com
deepseek,pairwise,chatgpt,toutiao.com
deepseek,pairwise,chatgpt,baijiahao.baidu.com
deepseek,pairwise,chatgpt,english.kyodonews.net
deepseek,pairwise,chatgpt,myanmaritv.com
deepseek,pairwise,chatgpt,wktv.com
deepseek,pairwise,chatgpt,wionews.com
deepseek,pairwise,chatgpt,dw.com
deepseek,pairwise,chatgpt,travelwithme.my.id
deepseek,pairwise,chatgpt,nationalgeographic.com
deepseek,pairwise,chatgpt,indianexpress.com
deepseek,pairwise,chatgpt,pht.com.au
deepseek,pairwise,chatgpt,mypunepulse.com
deepseek,pairwise,chatgpt,weroad.com
deepseek,pairwise,chatgpt,bostonglobe.com
deepseek,pairwise,chatgpt,nicolestravels.com
deepseek,pairwise,chatgpt,bbc.com
deepseek,pairwise,chatgpt,forevertravelingblog.com
deepseek,pairwise,claude,deutschlandfunk.de
deepseek,pairwise,claude,ab-in-den-urlaub.de
deepseek,pairwise,claude,today.rtl.lu
deepseek,pairwise,claude,sohu.com
deepseek,pairwise,claude,m.gmw.cn
deepseek,pairwise,claude,163.com
deepseek,pairwise,claude,toutiao.com
deepseek,pairwise,claude,baijiahao.baidu.com
deepseek,pairwise,claude,english.kyodonews.net
deepseek,pairwise,claude,myanmaritv.com
deepseek,pairwise,claude,wktv.com
deepseek,pairwise,claude,wionews.com
deepseek,pairwise,claude,dw.com
deepseek,pairwise,claude,travelwithme.my.id
deepseek,pairwise,claude,nationalgeographic.com
deepseek,pairwise,claude,indianexpress.com
deepseek,pairwise,claude,pht.com.au
deepseek,pairwise,claude,mypunepulse.com
deepseek,pairwise,claude,weroad.com
deepseek,pairwise,claude,bostonglobe.com
deepseek,pairwise,claude,nicolestravels.com
deepseek,pairwise,claude,bbc.com
deepseek,pairwise,claude,forevertravelingblog.com
deepseek,pairwise,grok,deutschlandfunk.de
deepseek,pairwise,grok,ab-in-den-urlaub.de
deepseek,pairwise,grok,today.rtl.lu
deepseek,pairwise,grok,sohu.com
deepseek,pairwise,grok,m.gmw.cn
deepseek,pairwise,grok,163.com
deepseek,pairwise,grok,toutiao.com
deepseek,pairwise,grok,baijiahao.baidu.com
deepseek,pairwise,grok,english.kyodonews.net
deepseek,pairwise,grok,myanmaritv.com
deepseek,pairwise,grok,wktv.com
deepseek,pairwise,grok,wionews.com
deepseek,pairwise,grok,travelwithme.my.id
deepseek,pairwise,grok,nationalgeographic.com
deepseek,pairwise,grok,pht.com.au
deepseek,pairwise,grok,mypunepulse.com
deepseek,pairwise,grok,weroad.com
deepseek,pairwise,grok,bostonglobe.com
deepseek,pairwise,grok,nicolestravels.com
deepseek,pairwise,grok,bbc.com
deepseek,pairwise,grok,forevertravelingblog.com
